Seq,COPx,COPy
257,0.040159,0.035215
258,0.04065,0.037683
259,0.040866,0.039696
260,0.040783,0.040857
261,0.040559,0.041196
262,0.040369,0.041186
263,0.040248,0.04105
264,0.040088,0.040797
265,0.039881,0.040443
266,0.039673,0.040099
267,0.039499,0.039758
268,0.039348,0.039352
269,0.039099,0.038866
270,0.038682,0.038242
271,0.038058,0.03757
272,0.037259,0.037083
273,0.036386,0.037027
274,0.035615,0.037365
275,0.035035,0.037929
276,0.034713,0.038504
277,0.034574,0.039052
278,0.034499,0.039528
279,0.034375,0.039846
280,0.034164,0.039955
281,0.0339,0.039967
282,0.03363,0.040025
283,0.0334,0.040091
284,0.033302,0.040063
285,0.033328,0.039786
286,0.03341,0.039177
287,0.033383,0.038054
288,0.033283,0.036527
289,0.033266,0.03486
290,0.033378,0.033171
291,0.033589,0.03153
292,0.03393,0.030024
293,0.034373,0.028617
294,0.034855,0.027165
295,0.035295,0.025433
296,0.035536,0.023317
297,0.035683,0.021012
298,0.035762,0.01885
299,0.035799,0.016972
300,0.035854,0.015446
301,0.035923,0.01425
302,0.036018,0.013411
303,0.036099,0.013046
304,0.036135,0.013278
305,0.036089,0.014175
306,0.035946,0.015658
307,0.035843,0.01768
308,0.035908,0.020065
309,0.036037,0.022737
310,0.036126,0.025795
311,0.036086,0.029304
312,0.035979,0.033046
313,0.035918,0.036897
314,0.035969,0.040734
315,0.036275,0.043897
316,0.036539,0.046134
317,0.036635,0.047569
318,0.036346,0.048162
319,0.035834,0.047983
320,0.03531,0.047499
321,0.034823,0.046959
322,0.034257,0.046255
323,0.033604,0.045433
324,0.032887,0.044569
325,0.032037,0.043579
326,0.030988,0.04239
327,0.029753,0.04112
328,0.028346,0.039998
329,0.026791,0.039093
330,0.025197,0.038418
331,0.023761,0.038003
332,0.02265,0.037871
333,0.021904,0.037924
334,0.021406,0.038092
335,0.020946,0.038326
336,0.020432,0.038492
337,0.019844,0.038485
338,0.019233,0.038267
339,0.018568,0.037707
340,0.017888,0.036875
341,0.017338,0.03608
342,0.016908,0.035435
343,0.016613,0.034925
344,0.016386,0.034587
345,0.016231,0.034422
346,0.016118,0.034418
347,0.015999,0.034364
348,0.015948,0.034027
349,0.016125,0.033334
350,0.016457,0.032394
351,0.016973,0.031467
352,0.017628,0.030674
353,0.018323,0.030056
354,0.01894,0.029608
355,0.019448,0.029287
356,0.01985,0.029025
357,0.020089,0.028794
358,0.02024,0.028664
359,0.02027,0.028621
360,0.020191,0.028662
361,0.020029,0.028786
362,0.019653,0.028978
363,0.019039,0.029019
364,0.018276,0.028856
365,0.017503,0.028563
366,0.016797,0.028175
367,0.016151,0.027678
368,0.015535,0.027196
369,0.01493,0.026858
370,0.014223,0.026633
371,0.013394,0.026546
372,0.012506,0.0266
373,0.011602,0.026737
