Time,CoPx,CoPy
0.212000,0.006256,0.063722
0.213000,0.006264,0.063734
0.214000,0.006268,0.063758
0.215000,0.006272,0.063775
0.216000,0.006275,0.063792
0.217000,0.006279,0.063801
0.218000,0.006288,0.063823
0.219000,0.006287,0.063837
0.220000,0.006287,0.063849
0.221000,0.006291,0.063866
0.222000,0.006286,0.063873
0.223000,0.006282,0.063882
0.224000,0.006286,0.063891
0.225000,0.006303,0.063899
0.226000,0.006311,0.063907
0.227000,0.006315,0.063902
0.228000,0.006319,0.063905
0.229000,0.006319,0.063899
0.230000,0.006315,0.063887
0.231000,0.006324,0.063884
0.232000,0.006340,0.063886
0.233000,0.006344,0.063885
0.234000,0.006345,0.063889
0.235000,0.006341,0.063897
0.236000,0.006341,0.063901
0.237000,0.006354,0.063902
0.238000,0.006359,0.063909
0.239000,0.006367,0.063924
0.240000,0.006368,0.063928
0.241000,0.006368,0.063927
0.242000,0.006373,0.063928
0.243000,0.006377,0.063927
0.244000,0.006386,0.063923
0.245000,0.006390,0.063922
0.246000,0.006391,0.063918
0.247000,0.006395,0.063909
0.248000,0.006404,0.063897
0.249000,0.006412,0.063893
0.250000,0.006417,0.063884
0.251000,0.006417,0.063878
0.252000,0.006417,0.063874
0.253000,0.006418,0.063860
0.254000,0.006422,0.063851
0.255000,0.006422,0.063837
0.256000,0.006422,0.063833
0.257000,0.006418,0.063831
0.258000,0.006418,0.063833
0.259000,0.006419,0.063827
0.260000,0.006419,0.063823
0.261000,0.006423,0.063818
0.262000,0.006419,0.063825
0.263000,0.006415,0.063824
0.264000,0.006420,0.063821
0.265000,0.006424,0.063820
0.266000,0.006424,0.063831
0.267000,0.006429,0.063827
0.268000,0.006429,0.063838
0.269000,0.006429,0.063838
0.270000,0.006429,0.063842
0.271000,0.006438,0.063844
0.272000,0.006450,0.063847
0.273000,0.006454,0.063863
0.274000,0.006454,0.063871
0.275000,0.006450,0.063876
0.276000,0.006442,0.063884
0.277000,0.006442,0.063884
0.278000,0.006450,0.063884
0.279000,0.006455,0.063889
0.280000,0.006455,0.063897
0.281000,0.006447,0.063907
0.282000,0.006451,0.063908
0.283000,0.006455,0.063911
0.284000,0.006467,0.063906
0.285000,0.006476,0.063916
0.286000,0.006484,0.063924
0.287000,0.006484,0.063942
0.288000,0.006484,0.063950
0.289000,0.006488,0.063962
0.290000,0.006493,0.063973
0.291000,0.006493,0.063991
0.292000,0.006493,0.064007
0.293000,0.006489,0.064027
0.294000,0.006493,0.064038
0.295000,0.006493,0.064054
0.296000,0.006493,0.064068
0.297000,0.006497,0.064087
0.298000,0.006501,0.064099
0.299000,0.006501,0.064121
0.300000,0.006501,0.064135
0.301000,0.006505,0.064154
0.302000,0.006517,0.064181
0.303000,0.006517,0.064204
0.304000,0.006513,0.064229
0.305000,0.006513,0.064251
0.306000,0.006505,0.064273
0.307000,0.006509,0.064300
0.308000,0.006513,0.064322
0.309000,0.006513,0.064344
0.310000,0.006517,0.064361
0.311000,0.006513,0.064372
0.312000,0.006521,0.064394
0.313000,0.006529,0.064408
0.314000,0.006542,0.064435
0.315000,0.006558,0.064450
0.316000,0.006558,0.064464
0.317000,0.006558,0.064470
0.318000,0.006562,0.064481
0.319000,0.006566,0.064500
0.320000,0.006574,0.064522
0.321000,0.006578,0.064541
0.322000,0.006582,0.064560
0.323000,0.006591,0.064569
0.324000,0.006591,0.064583
0.325000,0.006603,0.064602
0.326000,0.006611,0.064626
0.327000,0.006620,0.064652
0.328000,0.006624,0.064682
0.329000,0.006629,0.064705
0.330000,0.006633,0.064719
0.331000,0.006642,0.064745
0.332000,0.006646,0.064767
0.333000,0.006655,0.064793
0.334000,0.006647,0.064820
0.335000,0.006651,0.064841
0.336000,0.006651,0.064863
0.337000,0.006651,0.064882
0.338000,0.006643,0.064898
0.339000,0.006631,0.064920
0.340000,0.006623,0.064936
0.341000,0.006611,0.064963
0.342000,0.006603,0.064989
0.343000,0.006603,0.065008
0.344000,0.006599,0.065029
0.345000,0.006596,0.065044
0.346000,0.006596,0.065061
0.347000,0.006600,0.065082
0.348000,0.006600,0.065106
0.349000,0.006596,0.065127
0.350000,0.006588,0.065154
0.351000,0.006585,0.065175
0.352000,0.006585,0.065192
0.353000,0.006581,0.065213
0.354000,0.006577,0.065240
0.355000,0.006573,0.065270
0.356000,0.006569,0.065289
0.357000,0.006569,0.065305
0.358000,0.006573,0.065327
0.359000,0.006573,0.065343
0.360000,0.006573,0.065365
0.361000,0.006569,0.065393
0.362000,0.006565,0.065418
0.363000,0.006565,0.065434
0.364000,0.006557,0.065440
0.365000,0.006557,0.065456
0.366000,0.006557,0.065472
0.367000,0.006553,0.065492
0.368000,0.006557,0.065511
0.369000,0.006557,0.065527
0.370000,0.006557,0.065543
0.371000,0.006569,0.065548
0.372000,0.006569,0.065565
0.373000,0.006578,0.065583
0.374000,0.006578,0.065599
0.375000,0.006579,0.065620
0.376000,0.006579,0.065632
0.377000,0.006584,0.065640
0.378000,0.006584,0.065644
0.379000,0.006584,0.065648
0.380000,0.006581,0.065656
0.381000,0.006585,0.065665
0.382000,0.006582,0.065683
0.383000,0.006586,0.065693
0.384000,0.006582,0.065700
0.385000,0.006578,0.065714
0.386000,0.006575,0.065721
0.387000,0.006575,0.065731
0.388000,0.006575,0.065750
0.389000,0.006576,0.065779
0.390000,0.006576,0.065797
0.391000,0.006576,0.065805
0.392000,0.006568,0.065824
0.393000,0.006564,0.065835
0.394000,0.006568,0.065848
0.395000,0.006568,0.065862
0.396000,0.006564,0.065876
0.397000,0.006568,0.065889
0.398000,0.006560,0.065905
0.399000,0.006556,0.065927
0.400000,0.006556,0.065943
0.401000,0.006560,0.065954
0.402000,0.006569,0.065978
0.403000,0.006568,0.065992
0.404000,0.006573,0.066006
0.405000,0.006589,0.066028
0.406000,0.006589,0.066044
0.407000,0.006589,0.066052
0.408000,0.006593,0.066061
0.409000,0.006601,0.066083
0.410000,0.006614,0.066105
0.411000,0.006618,0.066122
0.412000,0.006626,0.066144
0.413000,0.006630,0.066169
0.414000,0.006622,0.066183
0.415000,0.006625,0.066198
0.416000,0.006637,0.066212
0.417000,0.006641,0.066229
0.418000,0.006645,0.066246
0.419000,0.006645,0.066264
0.420000,0.006657,0.066275
0.421000,0.006677,0.066286
0.422000,0.006694,0.066292
0.423000,0.006710,0.066306
0.424000,0.006726,0.066320
0.425000,0.006743,0.066342
0.426000,0.006755,0.066353
0.427000,0.006763,0.066367
0.428000,0.006771,0.066381
0.429000,0.006779,0.066404
0.430000,0.006775,0.066423
0.431000,0.006779,0.066450
0.432000,0.006787,0.066472
0.433000,0.006791,0.066484
0.434000,0.006795,0.066495
0.435000,0.006803,0.066515
0.436000,0.006819,0.066521
0.437000,0.006836,0.066537
0.438000,0.006848,0.066546
0.439000,0.006860,0.066555
0.440000,0.006868,0.066569
0.441000,0.006876,0.066583
0.442000,0.006884,0.066605
0.443000,0.006888,0.066622
0.444000,0.006896,0.066638
0.445000,0.006900,0.066665
0.446000,0.006900,0.066685
0.447000,0.006900,0.066705
0.448000,0.006904,0.066730
0.449000,0.006912,0.066744
0.450000,0.006911,0.066764
0.451000,0.006911,0.066792
0.452000,0.006915,0.066817
0.453000,0.006915,0.066835
0.454000,0.006910,0.066849
0.455000,0.006905,0.066872
0.456000,0.006905,0.066903
0.457000,0.006897,0.066922
0.458000,0.006884,0.066945
0.459000,0.006888,0.066968
0.460000,0.006887,0.066978
0.461000,0.006882,0.066998
0.462000,0.006882,0.067018
0.463000,0.006882,0.067046
0.464000,0.006882,0.067068
0.465000,0.006877,0.067085
0.466000,0.006877,0.067107
0.467000,0.006877,0.067129
0.468000,0.006877,0.067143
0.469000,0.006877,0.067167
0.470000,0.006878,0.067186
0.471000,0.006874,0.067215
0.472000,0.006870,0.067236
0.473000,0.006874,0.067247
0.474000,0.006882,0.067261
0.475000,0.006890,0.067275
0.476000,0.006898,0.067289
0.477000,0.006894,0.067311
0.478000,0.006890,0.067324
0.479000,0.006890,0.067332
0.480000,0.006890,0.067332
0.481000,0.006898,0.067340
0.482000,0.006899,0.067348
0.483000,0.006891,0.067361
0.484000,0.006887,0.067376
0.485000,0.006884,0.067392
0.486000,0.006888,0.067399
0.487000,0.006893,0.067407
0.488000,0.006893,0.067419
0.489000,0.006902,0.067432
0.490000,0.006906,0.067439
0.491000,0.006911,0.067457
0.492000,0.006920,0.067467
0.493000,0.006924,0.067475
0.494000,0.006920,0.067482
0.495000,0.006912,0.067493
0.496000,0.006908,0.067506
0.497000,0.006912,0.067517
0.498000,0.006908,0.067544
0.499000,0.006896,0.067563
0.500000,0.006892,0.067572
0.501000,0.006887,0.067591
0.502000,0.006879,0.067613
0.503000,0.006883,0.067641
0.504000,0.006887,0.067664
0.505000,0.006886,0.067691
0.506000,0.006882,0.067717
0.507000,0.006878,0.067723
0.508000,0.006873,0.067738
0.509000,0.006873,0.067768
0.510000,0.006868,0.067777
0.511000,0.006868,0.067788
0.512000,0.006860,0.067800
0.513000,0.006855,0.067811
0.514000,0.006847,0.067825
0.515000,0.006839,0.067839
0.516000,0.006831,0.067855
0.517000,0.006827,0.067868
0.518000,0.006814,0.067871
0.519000,0.006806,0.067887
0.520000,0.006794,0.067901
0.521000,0.006790,0.067914
0.522000,0.006786,0.067927
0.523000,0.006795,0.067930
0.524000,0.006803,0.067932
0.525000,0.006808,0.067950
0.526000,0.006813,0.067967
0.527000,0.006817,0.067977
0.528000,0.006813,0.067987
0.529000,0.006818,0.067991
0.530000,0.006819,0.067990
0.531000,0.006820,0.067997
0.532000,0.006820,0.068001
0.533000,0.006813,0.068008
0.534000,0.006809,0.068002
0.535000,0.006809,0.067992
0.536000,0.006806,0.067996
0.537000,0.006807,0.067995
0.538000,0.006803,0.068002
0.539000,0.006795,0.068015
0.540000,0.006787,0.068014
0.541000,0.006776,0.068018
0.542000,0.006772,0.068014
0.543000,0.006764,0.068010
0.544000,0.006752,0.068009
0.545000,0.006748,0.068001
0.546000,0.006741,0.067997
0.547000,0.006733,0.067996
0.548000,0.006729,0.067979
0.549000,0.006725,0.067970
0.550000,0.006721,0.067964
0.551000,0.006717,0.067964
0.552000,0.006705,0.067957
0.553000,0.006693,0.067957
0.554000,0.006681,0.067948
0.555000,0.006673,0.067942
0.556000,0.006669,0.067925
0.557000,0.006661,0.067916
0.558000,0.006650,0.067909
0.559000,0.006633,0.067898
0.560000,0.006622,0.067883
0.561000,0.006622,0.067871
0.562000,0.006614,0.067856
0.563000,0.006607,0.067849
0.564000,0.006604,0.067828
0.565000,0.006583,0.067814
0.566000,0.006572,0.067801
0.567000,0.006560,0.067789
0.568000,0.006548,0.067774
0.569000,0.006536,0.067762
0.570000,0.006520,0.067744
0.571000,0.006521,0.067727
0.572000,0.006509,0.067704
0.573000,0.006493,0.067694
0.574000,0.006489,0.067674
0.575000,0.006481,0.067654
0.576000,0.006469,0.067639
0.577000,0.006458,0.067627
0.578000,0.006445,0.067602
0.579000,0.006442,0.067579
0.580000,0.006430,0.067562
0.581000,0.006417,0.067561
0.582000,0.006409,0.067545
0.583000,0.006401,0.067529
0.584000,0.006388,0.067518
0.585000,0.006380,0.067502
0.586000,0.006375,0.067488
0.587000,0.006363,0.067483
0.588000,0.006342,0.067484
0.589000,0.006317,0.067474
0.590000,0.006304,0.067450
0.591000,0.006287,0.067431
0.592000,0.006267,0.067424
0.593000,0.006245,0.067414
0.594000,0.006224,0.067404
0.595000,0.006203,0.067394
0.596000,0.006190,0.067385
0.597000,0.006182,0.067372
0.598000,0.006173,0.067365
0.599000,0.006160,0.067364
0.600000,0.006147,0.067362
0.601000,0.006138,0.067358
0.602000,0.006138,0.067356
0.603000,0.006133,0.067348
0.604000,0.006129,0.067341
0.605000,0.006116,0.067342
0.606000,0.006095,0.067334
0.607000,0.006079,0.067324
0.608000,0.006062,0.067314
0.609000,0.006053,0.067311
0.610000,0.006041,0.067306
0.611000,0.006020,0.067299
0.612000,0.006003,0.067294
0.613000,0.005986,0.067292
0.614000,0.005961,0.067282
0.615000,0.005944,0.067280
0.616000,0.005928,0.067278
0.617000,0.005919,0.067284
0.618000,0.005898,0.067279
0.619000,0.005882,0.067276
0.620000,0.005861,0.067269
0.621000,0.005844,0.067259
0.622000,0.005831,0.067249
0.623000,0.005827,0.067250
0.624000,0.005822,0.067242
0.625000,0.005822,0.067238
0.626000,0.005805,0.067217
0.627000,0.005792,0.067207
0.628000,0.005783,0.067193
0.629000,0.005783,0.067188
0.630000,0.005774,0.067183
0.631000,0.005753,0.067176
0.632000,0.005736,0.067164
0.633000,0.005716,0.067156
0.634000,0.005690,0.067144
0.635000,0.005677,0.067140
0.636000,0.005665,0.067132
0.637000,0.005644,0.067133
0.638000,0.005615,0.067117
0.639000,0.005594,0.067118
0.640000,0.005585,0.067114
0.641000,0.005573,0.067104
0.642000,0.005560,0.067095
0.643000,0.005539,0.067085
0.644000,0.005510,0.067072
0.645000,0.005489,0.067056
0.646000,0.005468,0.067043
0.647000,0.005451,0.067041
0.648000,0.005435,0.067031
0.649000,0.005406,0.067017
0.650000,0.005385,0.067004
0.651000,0.005364,0.066993
0.652000,0.005344,0.066982
0.653000,0.005331,0.066969
0.654000,0.005319,0.066964
0.655000,0.005306,0.066948
0.656000,0.005294,0.066924
0.657000,0.005277,0.066898
0.658000,0.005268,0.066882
0.659000,0.005256,0.066871
0.660000,0.005248,0.066863
0.661000,0.005244,0.066849
0.662000,0.005227,0.066843
0.663000,0.005211,0.066827
0.664000,0.005203,0.066813
0.665000,0.005203,0.066810
0.666000,0.005195,0.066808
0.667000,0.005183,0.066799
0.668000,0.005175,0.066785
0.669000,0.005158,0.066761
0.670000,0.005146,0.066755
0.671000,0.005142,0.066746
0.672000,0.005126,0.066734
0.673000,0.005109,0.066720
0.674000,0.005093,0.066706
0.675000,0.005072,0.066687
0.676000,0.005056,0.066673
0.677000,0.005035,0.066656
0.678000,0.005019,0.066653
0.679000,0.005003,0.066639
0.680000,0.004982,0.066620
0.681000,0.004974,0.066606
0.682000,0.004953,0.066597
0.683000,0.004925,0.066586
0.684000,0.004912,0.066575
0.685000,0.004904,0.066559
0.686000,0.004887,0.066542
0.687000,0.004875,0.066529
0.688000,0.004862,0.066516
0.689000,0.004854,0.066500
0.690000,0.004837,0.066489
0.691000,0.004824,0.066482
0.692000,0.004816,0.066466
0.693000,0.004799,0.066448
0.694000,0.004778,0.066443
0.695000,0.004766,0.066438
0.696000,0.004753,0.066424
0.697000,0.004741,0.066411
0.698000,0.004728,0.066398
0.699000,0.004716,0.066387
0.700000,0.004699,0.066371
0.701000,0.004683,0.066361
0.702000,0.004666,0.066350
0.703000,0.004645,0.066337
0.704000,0.004624,0.066324
0.705000,0.004599,0.066314
0.706000,0.004575,0.066306
0.707000,0.004558,0.066298
0.708000,0.004541,0.066279
0.709000,0.004533,0.066263
0.710000,0.004524,0.066247
0.711000,0.004516,0.066233
0.712000,0.004512,0.066214
0.713000,0.004504,0.066208
0.714000,0.004496,0.066188
0.715000,0.004487,0.066164
0.716000,0.004471,0.066148
0.717000,0.004454,0.066134
0.718000,0.004442,0.066117
0.719000,0.004426,0.066103
0.720000,0.004413,0.066092
0.721000,0.004405,0.066078
0.722000,0.004397,0.066053
0.723000,0.004384,0.066040
0.724000,0.004372,0.066029
0.725000,0.004355,0.066013
0.726000,0.004338,0.065997
0.727000,0.004314,0.065989
0.728000,0.004293,0.065970
0.729000,0.004277,0.065953
0.730000,0.004252,0.065937
0.731000,0.004227,0.065921
0.732000,0.004211,0.065915
0.733000,0.004194,0.065901
0.734000,0.004182,0.065892
0.735000,0.004178,0.065883
0.736000,0.004174,0.065866
0.737000,0.004161,0.065855
0.738000,0.004141,0.065847
0.739000,0.004129,0.065836
0.740000,0.004125,0.065827
0.741000,0.004120,0.065808
0.742000,0.004112,0.065799
0.743000,0.004100,0.065778
0.744000,0.004083,0.065762
0.745000,0.004066,0.065746
0.746000,0.004054,0.065735
0.747000,0.004050,0.065721
0.748000,0.004041,0.065713
0.749000,0.004029,0.065698
0.750000,0.004020,0.065687
0.751000,0.004004,0.065669
0.752000,0.003987,0.065669
0.753000,0.003970,0.065667
0.754000,0.003962,0.065663
0.755000,0.003953,0.065653
0.756000,0.003941,0.065639
0.757000,0.003924,0.065631
0.758000,0.003908,0.065634
0.759000,0.003891,0.065626
0.760000,0.003879,0.065625
0.761000,0.003867,0.065614
0.762000,0.003858,0.065606
0.763000,0.003842,0.065606
0.764000,0.003838,0.065601
0.765000,0.003825,0.065603
0.766000,0.003817,0.065601
0.767000,0.003805,0.065596
0.768000,0.003784,0.065599
0.769000,0.003771,0.065600
0.770000,0.003763,0.065606
0.771000,0.003755,0.065614
0.772000,0.003742,0.065625
0.773000,0.003722,0.065645
0.774000,0.003709,0.065646
0.775000,0.003697,0.065646
0.776000,0.003688,0.065650
0.777000,0.003684,0.065659
0.778000,0.003680,0.065668
0.779000,0.003676,0.065677
0.780000,0.003671,0.065684
0.781000,0.003671,0.065681
0.782000,0.003667,0.065674
0.783000,0.003667,0.065680
0.784000,0.003662,0.065689
0.785000,0.003658,0.065698
0.786000,0.003654,0.065699
0.787000,0.003646,0.065702
