Frame,Sub Frame,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
1,0,0,0,0,0,0,0,0,-2.22E-05,-1.56E-05,-1.32E-06,-1.41E-05,-8.42E-06,0,0,0,0
1,1,0,0,0,0,0,0,0,-2.14E-05,-1.46E-05,-3.37E-06,-1.42E-05,-7.70E-06,0,0,0,0
1,2,0,0,0,0,0,0,0,-2.01E-05,-1.19E-05,-5.41E-06,-1.41E-05,-6.75E-06,0,0,0,0
1,3,0,0,0,0,0,0,0,-1.85E-05,-7.98E-06,-6.44E-06,-1.39E-05,-5.12E-06,0,0,0,0
1,4,0,0,0,0,0,0,0,-1.66E-05,-5.18E-06,-5.82E-06,-1.42E-05,-3.47E-06,0,0,0,0
1,5,0,0,0,0,0,0,0,-1.66E-05,-3.84E-06,-5.74E-06,-1.49E-05,-3.11E-06,0,0,0,0
1,6,0,0,0,0,0,0,0,-1.81E-05,-2.76E-06,-8.07E-06,-1.55E-05,-4.01E-06,0,0,0,0
1,7,0,0,0,0,0,0,0,-1.89E-05,-1.89E-06,-1.11E-05,-1.54E-05,-4.99E-06,0,0,0,0
1,8,0,0,0,0,0,0,0,-1.80E-05,-1.70E-06,-1.25E-05,-1.39E-05,-5.33E-06,0,0,0,0
1,9,0,0,0,0,0,0,0,-1.78E-05,-1.77E-06,-1.22E-05,-1.15E-05,-5.18E-06,0,0,0,0
1,10,0,0,0,0,0,0,0,-1.85E-05,-1.30E-06,-1.14E-05,-9.58E-06,-5.15E-06,0,0,0,0
1,11,0,0,0,0,0,0,0,-1.90E-05,-2.59E-07,-1.11E-05,-8.82E-06,-5.47E-06,0,0,0,0
1,12,0,0,0,0,0,0,0,-1.88E-05,7.63E-07,-1.13E-05,-8.69E-06,-5.66E-06,0,0,0,0
1,13,0,0,0,0,0,0,0,-1.79E-05,1.60E-06,-1.16E-05,-8.41E-06,-5.62E-06,0,0,0,0
1,14,0,0,0,0,0,0,0,-1.65E-05,2.33E-06,-1.14E-05,-7.92E-06,-6.08E-06,0,0,0,0
1,15,0,0,0,0,0,0,0,-1.44E-05,1.87E-06,-1.05E-05,-7.39E-06,-7.06E-06,0,0,0,0
1,16,0,0,0,0,0,0,0,-9.97E-06,-6.37E-07,-9.79E-06,-6.87E-06,-7.64E-06,0,0,0,0
1,17,0,0,0,0,0,0,0,-8.06E-06,-2.97E-06,-9.85E-06,-6.17E-06,-7.35E-06,0,0,0,0
1,18,0,0,0,0,0,0,0,-1.36E-05,-2.67E-06,-1.08E-05,-5.44E-06,-6.72E-06,0,0,0,0
1,19,0,0,0,0,0,0,0,-1.93E-05,-1.38E-06,-1.21E-05,-5.60E-06,-6.64E-06,0,0,0,0
2,0,0,0,0,0,0,0,0,-1.96E-05,-1.67E-06,-1.33E-05,-6.88E-06,-7.20E-06,0,0,0,0
2,1,0,0,0,0,0,0,0,-1.72E-05,-3.01E-06,-1.43E-05,-8.07E-06,-7.30E-06,0,0,0,0
2,2,0,0,0,0,0,0,0,-1.53E-05,-4.14E-06,-1.48E-05,-8.46E-06,-6.10E-06,0,0,0,0
2,3,0,0,0,0,0,0,0,-1.54E-05,-5.25E-06,-1.48E-05,-8.80E-06,-4.03E-06,0,0,0,0
2,4,0,0,0,0,0,0,0,-1.73E-05,-6.49E-06,-1.46E-05,-9.53E-06,-2.37E-06,0,0,0,0
2,5,0,0,0,0,0,0,0,-1.88E-05,-7.41E-06,-1.50E-05,-1.01E-05,-2.09E-06,0,0,0,0
2,6,0,0,0,0,0,0,0,-1.88E-05,-8.02E-06,-1.62E-05,-9.91E-06,-2.41E-06,0,0,0,0
2,7,0,0,0,0,0,0,0,-1.91E-05,-8.68E-06,-1.74E-05,-9.10E-06,-2.09E-06,0,0,0,0
2,8,0,0,0,0,0,0,0,-1.99E-05,-9.93E-06,-1.76E-05,-8.61E-06,-1.89E-06,0,0,0,0
