Frame;Sub Frame;TA_D;FIB_D;GM_D;GL_D;SOL_D;TA_I;FIB_I;GM_I;GLI;SOL_I
5;9;-0.000915527;-0.0114441;0.0670624;0.0669861;0.074501;0.0775146;0.0687027;0.0744247;0.100365;0.0812149
6;0;-0.00621796;-0.0170898;0.0577927;0.0653839;0.0745392;0.08461;0.0696182;0.0758362;0.100403;0.0860214
6;1;-0.00644684;-0.0117111;0.067215;0.0720215;0.117264;0.087738;0.07061;0.0748444;0.103722;0.0822067
6;2;0.001297;0.00118256;0.137024;0.0729752;0.145988;0.0875092;0.0767899;0.0704193;0.0993347;0.085907
6;3;0.00389099;0.0056839;0.0408173;0.0639725;0.128479;0.0736237;0.075798;0.07267;0.0984192;0.084343
6;4;0.00152588;0.0107574;-0.0442123;0.0628662;0.052681;0.0545502;0.0788498;0.0736237;0.103569;0.084343
6;5;0.00545502;0.00965118;0.0300217;0.0659943;-0.0184631;0.0368118;0.0793076;0.0751877;0.103493;0.0870895
6;6;0.00213623;0.00255585;0.0690842;0.0695038;-0.0372314;0.0289536;0.0762177;0.0749207;0.100021;0.0868607
6;7;0.000724792;0.00385284;0.0894547;0.0725174;-0.0227356;0.0365448;0.0760269;0.0733185;0.102081;0.0934601
6;8;-0.00137329;0.00301361;0.067749;0.0673676;0.0281906;0.0535965;0.0759125;0.0754929;0.0981522;0.0901031
6;9;-0.0101089;-0.00331879;0.0621414;0.066185;0.0895691;0.0576019;0.0777435;0.0759125;0.096817;0.0862503
7;0;-0.00926971;-0.00663757;0.0482178;0.0579071;0.126228;0.0622559;0.0749588;0.0712967;0.0968933;0.0885773
7;1;0.00225067;-0.00247955;0.08358;0.0610352;0.124321;0.0654984;0.0754929;0.0694656;0.0975418;0.0865173
7;2;0.00507355;0.00183105;0.104141;0.0656509;0.101013;0.0693893;0.0787354;0.0728607;0.0939178;0.0873566
7;3;0.0069046;0.00465393;0.157013;0.0660706;0.0428391;0.0794983;0.078392;0.0722885;0.0931549;0.0812912
7;4;-0.000953674;0.000762939;0.192146;0.0691605;0.0308609;0.0986481;0.0760651;0.0702667;0.0947571;0.0793076
7;5;-0.00320435;0.00293732;0.191231;0.0728989;0.0340271;0.116272;0.0779343;0.0720215;0.0953293;0.0870895
7;6;-0.00339508;-0.0012207;0.156708;0.0659561;0.02388;0.125618;0.0755692;0.0686646;0.101967;0.083847
7;7;-0.00583649;-0.000724792;0.148506;0.0706482;0.022316;0.0769424;0.0757599;0.0679779;0.0992584;0.0861359
7;8;-0.0018692;-0.0018692;-0.0156784;0.0804138;0.0355148;0.0483322;0.0731659;0.070343;0.101852;0.0834656
7;9;0.00141144;-0.0100708;-0.0978851;0.0788116;0.0448227;0.0784302;0.0767899;0.07164;0.101471;0.0849152
8;0;-0.00106812;-0.0150681;-0.0301743;0.0673294;0.0637817;0.0917435;0.0748825;0.0654602;0.0990677;0.0821686
8;1;0.00331879;-0.00854492;-0.0230789;0.0640488;0.089035;0.091362;0.0764847;0.0636673;0.0990295;0.0816727
8;2;0.00457764;-0.00522614;0.0301361;0.0707245;0.0852966;0.0679779;0.0751495;0.0667953;0.0988007;0.0800323
8;3;0.0056839;-0.00171661;0.0429153;0.0676727;0.0532913;0.0540924;0.0714493;0.0679779;0.100365;0.0786591
8;4;0.00881195;0.00320435;-0.0281143;0.0728607;0.0806046;0.057869;0.0658417;0.0683975;0.100288;0.0816727
8;5;0.00354767;-0.00141144;0.0209045;0.0761795;0.142097;0.0606155;0.071373;0.0719452;0.0955582;0.0835037
8;6;-0.000343323;0.001297;0.0684357;0.0694656;0.14679;0.0563812;0.0690842;0.0734711;0.0959396;0.0801468
8;7;0.00175476;0.00240326;0.0762558;0.0660706;0.121231;0.0606155;0.0659943;0.077858;0.0946045;0.082283
8;8;-0.00534058;0.00759125;0.110931;0.0668335;0.094223;0.0662613;0.0666046;0.0782776;0.0928879;0.0839996
8;9;-0.0118637;0.00343323;0.117035;0.0676727;0.0656509;0.0642776;0.0674057;0.0708008;0.0956726;0.0792313
9;0;-0.0101852;-0.00141144;0.0895691;0.0689316;0.0416565;0.0630951;0.0675964;0.0691986;0.0961304;0.0823212
9;1;-0.00907898;-0.000267029;0.0904846;0.064888;0.0276184;0.0666428;0.0783539;0.0687027;0.0948715;0.0835419
9;2;0;0.00347137;0.131416;0.0668716;0.00740051;0.0746536;0.0793457;0.0714874;0.0979233;0.0828552
9;3;0.00827789;0.00846863;0.141449;0.0633621;0.0105667;0.0730896;0.0746536;0.0720215;0.100288;0.0842667
9;4;0.0115967;0.00743866;0.0127029;0.0619888;0.028801;0.056839;0.0751877;0.0725555;0.103149;0.0812531
9;5;0.00900269;0.00778198;-0.0264359;0.07164;0.0562286;0.0531387;0.0798416;0.0690079;0.101357;0.085144
9;6;0.00881195;0.00602722;-0.0207901;0.0771713;0.113297;0.0553513;0.0775528;0.0688171;0.104446;0.083847
9;7;0.00606537;0.00255585;0.0378418;0.0691986;0.15892;0.03582;0.0737;0.0728989;0.101776;0.083313
9;8;0.00179291;-0.00770569;0.0125885;0.0580597;0.135002;0.0559998;0.0730133;0.0707626;0.103378;0.0872421
9;9;0.00396729;-0.0103378;0.0115585;0.0637054;0.0773621;0.0754929;0.0777817;0.07267;0.101738;0.0849915
10;0;-0.00274658;-0.00152588;0.10025;0.07164;0.0762177;0.0831223;0.0721359;0.0677109;0.104103;0.0878525
10;1;-0.000724792;0.000724792;0.149498;0.0750732;0.0575256;0.0838089;0.0711823;0.0687027;0.100174;0.0866699
10;2;-3.81E-05;0.000572205;0.0136185;0.0837326;0.00415802;0.085907;0.0730133;0.0691223;0.0998306;0.0895309
10;3;-0.000762939;0.00247955;-0.0772476;0.0838089;0.0044632;0.0875854;0.0741959;0.0660706;0.0991821;0.086174
10;4;-0.00389099;0.00415802;-0.0669098;0.0837708;0.0552368;0.0839615;0.0747681;0.0699234;0.0972748;0.0883102
10;5;-0.00484467;-0.00396729;-0.0912857;0.0875473;0.138741;0.0788879;0.0790405;0.0689697;0.0939941;0.0890732
10;6;-0.000724792;-0.0102997;-0.0657654;0.0755692;0.220108;0.0784683;0.0804901;0.0712967;0.0956726;0.0875092
10;7;-0.00366211;0.0102234;0.0468445;0.0650024;0.178833;0.076561;0.0743484;0.0725555;0.0987244;0.083313
10;8;-0.00350952;0.00671387;0.100327;0.0605011;0.10704;0.0740051;0.0717163;0.0737;0.0964355;0.0835419
10;9;-0.00118256;0.00514984;0.120926;0.0645828;0.0569534;0.0665665;0.0736618;0.0740051;0.0975418;0.0863266
11;0;-0.000953674;-0.00179291;0.127716;0.059967;0.0560379;0.0647736;0.0733185;0.0741959;0.10006;0.0875854
11;1;-0.00396729;-0.0104523;0.130806;0.0526428;0.0370026;0.0667191;0.0740051;0.0724792;0.0981903;0.0896835
11;2;-0.00408173;-0.00549316;0.116081;0.054512;-0.00396729;0.0654984;0.078125;0.074501;0.101738;0.0835419
11;3;0.0037384;-0.00701904;0.101395;0.0556183;-0.015831;0.0653839;0.080452;0.0791931;0.0983429;0.0841522
11;4;0.00354767;-0.00484467;0.143547;0.0608444;-0.0183868;0.0720978;0.0782776;0.0777817;0.0961685;0.0813293
11;5;0.00598907;-0.00385284;0.156593;0.0737;0.00801086;0.0717545;0.0800323;0.0735855;0.0944901;0.0852585
11;6;0.00610352;0.000495911;0.153618;0.0781631;0.0464249;0.0667572;0.0760269;0.0677109;0.0952911;0.0898361
11;7;0.00144958;0.00850677;0.154037;0.0749207;0.0838852;0.0592422;0.0727844;0.0653076;0.0975418;0.0854111
11;8;-0.00114441;0.010643;0.0828934;0.0712967;0.0559235;0.0587082;0.0699615;0.0693893;0.100746;0.0850677
11;9;0.00205994;0.00648499;0.019722;0.0687408;0.0191116;0.0615311;0.0715256;0.0673294;0.0980377;0.0798416
12;0;0.00225067;0.000991821;0.0177765;0.0624084;0.0333786;0.0672913;0.0714493;0.0706482;0.0995636;0.0750351
12;1;0.00301361;0.00270844;-0.000305176;0.0605774;0.0281906;0.0918579;0.0678635;0.0693893;0.0992584;0.0767899
12;2;-0.00782013;-0.0019455;-0.0504303;0.0711823;-0.00350952;0.112953;0.0718689;0.0710297;0.102005;0.0787735
12;3;-0.00659943;-0.00400543;0.0176239;0.0790787;0.0372314;0.0989532;0.070076;0.0694656;0.0984192;0.0833511
12;4;-0.00846863;-0.00682831;0.0142288;0.0645065;0.0746155;0.0905991;0.0740433;0.0704575;0.0972366;0.0876236
12;5;-0.00587463;-0.00965118;0.00209808;0.0670624;0.0765991;0.0751495;0.0785065;0.0737762;0.100632;0.0846481
12;6;-0.00766754;-0.00965118;0.0777054;0.0673294;0.162468;0.0753784;0.0818634;0.0658035;0.101433;0.085907
12;7;-0.00686646;-0.00225067;0.128479;0.060463;0.22728;0.0920868;0.0811768;0.0652695;0.0970459;0.0806808
12;8;0.00324249;0.0163651;0.102348;0.0688553;0.20134;0.0880051;0.0746536;0.0680161;0.0960159;0.0823212
12;9;0.00427246;0.0148773;0.117035;0.0830078;0.137215;0.0375366;0.0738525;0.0675201;0.0975418;0.0830841
13;0;-7.63E-05;0.0168991;0.136108;0.0844574;0.0756454;-0.0980377;0.070076;0.063858;0.100403;0.0822067
13;1;0.00289917;0.0075531;0.0999832;0.083847;0.0393295;-0.127106;0.0698853;0.0662994;0.10067;0.0827026
