DM: Ch1 (Dev1) [Volts],BB: Ch2 (Dev1) [Volts],ACC: Ch3 (Dev1) [Volts],ACC: Ch4 (Dev1) [g],ACC: Ch5 (Dev1) [g],ACC: Ch6 (Dev1) [g]
4.057722e-006,-1.423634e-005,3.951258e-005,2.327406e+000,1.925583e+000,1.536874e+000
3.895827e-006,-6.141620e-006,3.902689e-005,2.329673e+000,1.922669e+000,1.537684e+000
-1.536960e-005,9.076446e-006,3.854121e-005,2.328701e+000,1.924774e+000,1.536713e+000
-2.848304e-005,1.490464e-005,3.918879e-005,2.329187e+000,1.927850e+000,1.536065e+000
-1.553149e-005,5.352877e-006,3.886500e-005,2.329025e+000,1.928012e+000,1.536874e+000
-1.180792e-005,-4.753193e-007,3.854121e-005,2.331777e+000,1.926879e+000,1.537360e+000
7.295609e-006,-6.951092e-006,3.789363e-005,2.334529e+000,1.926069e+000,1.538979e+000
7.295609e-006,-1.342686e-005,3.756985e-005,2.336958e+000,1.925421e+000,1.540112e+000
3.572039e-006,-7.760564e-006,3.789363e-005,2.333882e+000,1.925583e+000,1.540274e+000
1.733306e-005,-7.112987e-006,3.805553e-005,2.332911e+000,1.925907e+000,1.542217e+000
1.474275e-005,-1.122897e-006,3.805553e-005,2.332587e+000,1.926879e+000,1.540274e+000
7.943186e-006,-2.903734e-006,3.773174e-005,2.332101e+000,1.928659e+000,1.540274e+000
-1.310308e-005,-1.608580e-006,3.870311e-005,2.331615e+000,1.927364e+000,1.539627e+000
-2.686409e-005,5.514771e-006,3.854121e-005,2.331777e+000,1.924288e+000,1.539627e+000
-1.650286e-005,1.722580e-007,3.854121e-005,2.332748e+000,1.923317e+000,1.538170e+000
-1.116034e-005,-4.753193e-007,3.902689e-005,2.333720e+000,1.924450e+000,1.536389e+000
6.000454e-006,-2.418051e-006,3.935069e-005,2.333720e+000,1.926231e+000,1.536065e+000
8.105080e-006,3.248250e-006,3.902689e-005,2.334691e+000,1.928336e+000,1.536713e+000
6.809926e-006,1.722580e-007,3.870311e-005,2.336634e+000,1.928659e+000,1.538332e+000
6.648031e-006,-1.164603e-005,3.902689e-005,2.338739e+000,1.929793e+000,1.538655e+000
4.057722e-006,-1.116034e-005,3.886500e-005,2.337444e+000,1.930926e+000,1.538170e+000
2.438779e-006,-5.008360e-006,3.854121e-005,2.335177e+000,1.929469e+000,1.539788e+000
-1.504581e-005,7.781291e-006,3.870311e-005,2.331939e+000,1.929793e+000,1.538493e+000
-2.751167e-005,1.280002e-005,3.854121e-005,2.331939e+000,1.931735e+000,1.536389e+000
-8.084353e-006,5.029088e-006,3.870311e-005,2.333072e+000,1.933354e+000,1.534446e+000
-4.522677e-006,6.000454e-006,3.837932e-005,2.333720e+000,1.933840e+000,1.534122e+000
1.360949e-005,-7.991079e-007,3.821742e-005,2.333234e+000,1.933516e+000,1.534122e+000
1.231433e-005,-9.379508e-006,3.789363e-005,2.330806e+000,1.934488e+000,1.534608e+000
9.076446e-006,-5.494043e-006,3.837932e-005,2.330968e+000,1.936754e+000,1.533637e+000
1.749495e-005,-3.065628e-006,3.805553e-005,2.331130e+000,1.938697e+000,1.532503e+000
1.976147e-005,-7.991079e-007,3.756985e-005,2.331615e+000,1.937726e+000,1.532989e+000
6.000454e-006,1.305518e-006,3.821742e-005,2.330482e+000,1.937726e+000,1.532018e+000
-1.391255e-005,1.953096e-006,3.837932e-005,2.328377e+000,1.939183e+000,1.531856e+000
-2.249295e-005,8.590763e-006,3.870311e-005,2.327892e+000,1.938535e+000,1.534122e+000
-9.055719e-006,2.762567e-006,3.886500e-005,2.328539e+000,1.939992e+000,1.536551e+000
-1.002708e-005,-9.610023e-007,3.951258e-005,2.328377e+000,1.940154e+000,1.539788e+000
5.838559e-006,-4.522677e-006,3.902689e-005,2.328377e+000,1.939021e+000,1.539950e+000
1.231433e-005,-3.065628e-006,3.935069e-005,2.329187e+000,1.938211e+000,1.539465e+000
9.885918e-006,-3.551311e-006,3.951258e-005,2.329673e+000,1.938859e+000,1.538008e+000
8.752658e-006,-1.326497e-005,3.935069e-005,2.330644e+000,1.939344e+000,1.538332e+000
5.029088e-006,-1.941696e-005,3.918879e-005,2.333072e+000,1.939021e+000,1.538170e+000
-6.372136e-007,-8.893824e-006,3.935069e-005,2.333558e+000,1.939021e+000,1.538008e+000
-2.038832e-005,6.324242e-006,3.886500e-005,2.333234e+000,1.939506e+000,1.535741e+000
-3.447313e-005,1.280002e-005,3.870311e-005,2.330644e+000,1.939830e+000,1.534446e+000
-1.617907e-005,4.867194e-006,3.918879e-005,2.329187e+000,1.942420e+000,1.534932e+000
-1.116034e-005,-4.753193e-007,3.870311e-005,2.325140e+000,1.944687e+000,1.537036e+000
7.619397e-006,-6.951092e-006,3.805553e-005,2.322873e+000,1.945011e+000,1.538493e+000
5.352877e-006,-7.922458e-006,3.789363e-005,2.321092e+000,1.945820e+000,1.540112e+000
6.486137e-006,-5.008360e-006,3.870311e-005,2.321902e+000,1.947115e+000,1.538979e+000
2.040905e-005,-4.360783e-006,3.821742e-005,2.323682e+000,1.949544e+000,1.536227e+000
2.364694e-005,-7.991079e-007,3.789363e-005,2.324168e+000,1.950515e+000,1.535417e+000
1.684737e-005,-1.770474e-006,3.805553e-005,2.325949e+000,1.949544e+000,1.533475e+000
-1.083656e-005,6.162348e-006,3.837932e-005,2.325949e+000,1.949868e+000,1.535255e+000
-1.925506e-005,1.069539e-005,3.886500e-005,2.325949e+000,1.948572e+000,1.536874e+000
-1.213171e-005,4.705299e-006,3.870311e-005,2.327082e+000,1.945335e+000,1.532179e+000
-1.148413e-005,4.543405e-006,3.935069e-005,2.329187e+000,1.941449e+000,1.532503e+000
3.895827e-006,-2.256157e-006,3.951258e-005,2.330806e+000,1.939668e+000,1.535579e+000
7.133714e-006,1.143624e-006,3.902689e-005,2.330968e+000,1.937240e+000,1.536389e+000
6.000454e-006,-1.122897e-006,3.918879e-005,2.328053e+000,1.936754e+000,1.533637e+000
8.105080e-006,-1.423634e-005,3.918879e-005,2.327568e+000,1.935459e+000,1.534284e+000
4.867194e-006,-1.666475e-005,3.935069e-005,2.330158e+000,1.935135e+000,1.536227e+000
3.341523e-007,-1.002708e-005,3.902689e-005,2.332263e+000,1.936430e+000,1.536389e+000
-2.055021e-005,6.809926e-006,3.870311e-005,2.334044e+000,1.934326e+000,1.537846e+000
