Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,ACCX4,ACCY4,ACCZ4,ACCX5,ACCY5,ACCZ5,ACCX6,ACCY6,ACCZ6,ACCX7,ACCY7,ACCZ7,ACCX8,ACCY8,ACCZ8,ACCX9,ACCY9,ACCZ9,ACCX10,ACCY10,ACCZ10,ACCX11,ACCY11,ACCZ11,ACCX12,ACCY12,ACCZ12,ACCX13,ACCY13,ACCZ13,ACCX14,ACCY14,ACCZ14,ACCX15,ACCY15,ACCZ15,ACCX16,ACCY16,ACCZ16
1,11,0,0,0,0,0,0,299.9,198,0,0.00427246,0.00396729,0.00488281,0.00183105,0.00366211,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-6.47E-06,-2.66E-06,-7.05E-06,-9.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990.36,-4859.77,-13885.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0,0,0,0,0,0,299.9,198,0,0.00427246,0.00396729,0.00488281,0.00183105,0.00366211,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-7.43E-06,-4.49E-06,-7.02E-06,-8.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959,-4876.05,-13819.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,299.9,198,0,0.00274658,0.00610352,0.00640869,0.00335693,0.00305176,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.79E-06,-6.08E-06,-6.04E-06,-6.54E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927.65,-4892.33,-13754.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,299.9,198,0,0.00274658,0.00610352,0.00640869,0.00335693,0.00305176,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-9.28E-06,-5.74E-06,-4.02E-06,-5.39E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3896.29,-4908.61,-13688.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,299.9,198,0,0.00488281,0.00457764,0.00579834,0.00366211,0.00396729,0.00579834,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.52E-06,-4.67E-06,-2.18E-06,-5.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3864.93,-4924.89,-13623.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,299.9,198,0,0.00488281,0.00457764,0.00579834,0.00366211,0.00396729,0.00579834,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.10E-06,-4.58E-06,-1.61E-06,-7.63E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3833.58,-4941.17,-13558.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,299.9,198,0,0.00335693,0.00579834,0.00396729,0.00274658,0.00274658,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-9.96E-06,-5.79E-06,-2.35E-06,-9.81E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802.22,-4957.45,-13492.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,0,0,0,0,0,0,299.9,198,0,0.00335693,0.00579834,0.00396729,0.00274658,0.00274658,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.33E-05,-6.87E-06,-3.56E-06,-1.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3770.87,-4973.73,-13427.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,299.9,198,0,0.00274658,-0.000915527,0.00274658,0.00366211,0.00488281,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.59E-05,-6.99E-06,-4.33E-06,-1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3739.51,-4990,-13361.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,299.9,198,0,0.00274658,-0.000915527,0.00274658,0.00366211,0.00488281,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.70E-05,-7.93E-06,-4.30E-06,-1.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3708.15,-5006.28,-13296.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,299.9,198,0,0.00457764,0.00396729,0.00152588,0.00518799,0.00396729,0.00305176,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.72E-05,-1.01E-05,-4.01E-06,-1.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3676.8,-5022.56,-13231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,299.9,198,0,0.00457764,0.00396729,0.00152588,0.00518799,0.00396729,0.00305176,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.77E-05,-1.04E-05,-4.61E-06,-1.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3645.44,-5038.84,-13165.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,299.9,198,0,0.00488281,0.00457764,0.00335693,0.00396729,0.00152588,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.85E-05,-8.00E-06,-6.24E-06,-1.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3614.09,-5055.12,-13100.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,299.9,198,0,0.00488281,0.00457764,0.00335693,0.00396729,0.00152588,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.85E-05,-6.12E-06,-7.86E-06,-1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3588.42,-5078.8,-13031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,299.9,198,0,0.00366211,0.00457764,0.00305176,0.00488281,0.00366211,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.76E-05,-6.81E-06,-9.11E-06,-1.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3568.43,-5109.88,-12957.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,299.9,198,0,0.00366211,0.00457764,0.00305176,0.00488281,0.00366211,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.65E-05,-8.97E-06,-1.03E-05,-1.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3548.44,-5140.95,-12884.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,299.9,198,0,0.00457764,0.00396729,0.00640869,0.00335693,0.00335693,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.58E-05,-1.06E-05,-1.14E-05,-1.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528.45,-5172.03,-12811.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,299.9,198,0,0.00457764,0.00396729,0.00640869,0.00335693,0.00335693,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.57E-05,-1.11E-05,-1.22E-05,-1.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3508.46,-5203.1,-12738.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0,0,0,0,0,0,299.9,198,0,0.00457764,0.00549316,0.00427246,0.00305176,0.00366211,0.00427246,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.61E-05,-1.19E-05,-1.22E-05,-1.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3488.48,-5234.18,-12665.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,299.9,198,0,0.00457764,0.00549316,0.00427246,0.00305176,0.00366211,0.00427246,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.65E-05,-1.31E-05,-1.09E-05,-1.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3468.49,-5265.26,-12592.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,0,0,0,0,0,0,299.9,198,0,0.00366211,0.00457764,0.00457764,0.00305176,0.00305176,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.62E-05,-1.34E-05,-9.28E-06,-1.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3448.5,-5296.33,-12519.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,299.9,198,0,0.00366211,0.00457764,0.00457764,0.00305176,0.00305176,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.50E-05,-1.25E-05,-8.57E-06,-8.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3428.51,-5327.41,-12446.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,0,0,0,0,0,299.9,198,0,0.00396729,0.00427246,0.00396729,0.00335693,0.00305176,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.38E-05,-1.20E-05,-8.26E-06,-6.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3408.53,-5358.48,-12373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,0,0,0,0,0,0,299.9,198,0,0.00396729,0.00427246,0.00396729,0.00335693,0.00305176,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.34E-05,-1.24E-05,-8.06E-06,-6.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388.54,-5389.56,-12299.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,0,0,0,0,0,0,299.9,198,0,0.00366211,0.00396729,0.00549316,0.00396729,0.00396729,0.00671387,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.34E-05,-1.27E-05,-8.27E-06,-8.22E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368.55,-5420.64,-12226.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,0,0,0,0,0,0,299.9,198,0,0.00366211,0.00396729,0.00549316,0.00396729,0.00396729,0.00671387,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.25E-05,-1.21E-05,-8.07E-06,-9.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3348.56,-5451.71,-12153.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,299.9,198,0,0.00427246,0.00366211,0.00396729,0.00366211,0.00396729,0.00610352,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.04E-05,-1.09E-05,-6.71E-06,-8.51E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328.57,-5482.79,-12080.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18,0,0,0,0,0,0,299.9,198,0,0.00427246,0.00366211,0.00396729,0.00366211,0.00396729,0.00610352,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.94E-06,-1.04E-05,-5.29E-06,-6.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345.12,-5522.45,-11999.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,0,0,0,0,0,0,299.9,198,0,0.00549316,0.00579834,0.00335693,0.00152588,0.00579834,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.84E-06,-1.08E-05,-4.87E-06,-2.43E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3361.66,-5562.12,-11918.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,299.9,198,0,0.00549316,0.00579834,0.00335693,0.00152588,0.00579834,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.03E-06,-1.07E-05,-5.07E-06,-3.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378.2,-5601.78,-11837.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,299.9,198,0,0.00335693,0.00488281,0.00366211,0.00366211,0,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-5.61E-06,-9.47E-06,-5.62E-06,-2.53E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394.74,-5641.45,-11756.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,299.9,198,0,0.00335693,0.00488281,0.00366211,0.00366211,0,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-3.31E-06,-8.20E-06,-6.57E-06,-2.82E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3411.28,-5681.11,-11675.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,299.9,198,0,0.00518799,0.00579834,0.00518799,0.00366211,0.00213623,0.00610352,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-2.53E-06,-8.42E-06,-6.70E-06,4.54E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427.82,-5720.78,-11594.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,299.9,198,0,0.00518799,0.00579834,0.00518799,0.00366211,0.00213623,0.00610352,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-3.04E-06,-1.04E-05,-5.00E-06,9.18E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444.36,-5760.44,-11514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,299.9,198,0,0.00396729,0.00518799,0.00427246,0.00457764,0.00183105,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-3.86E-06,-1.30E-05,-3.14E-06,3.89E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3460.91,-5800.11,-11433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,299.9,198,0,0.00396729,0.00518799,0.00427246,0.00457764,0.00183105,0.00549316,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-4.58E-06,-1.47E-05,-3.05E-06,-8.92E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477.45,-5839.77,-11352.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,299.9,198,0,0.00335693,0.00518799,0.00488281,0.00213623,0.00366211,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-6.10E-06,-1.50E-05,-3.87E-06,-2.16E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493.99,-5879.44,-11271.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,299.9,198,0,0.00335693,0.00518799,0.00488281,0.00213623,0.00366211,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-8.64E-06,-1.46E-05,-4.17E-06,-3.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510.53,-5919.1,-11190.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,299.9,198,0,0.00396729,0.00427246,0.00427246,0.00274658,0.00305176,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.06E-05,-1.40E-05,-4.08E-06,-3.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527.07,-5958.77,-11109.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,299.9,198,0,0.00396729,0.00427246,0.00427246,0.00274658,0.00305176,0.00518799,0,0,0,0,0,0,299.9,1012,0,0,0,0,0,0,0,0,0,-1.11E-05,-1.30E-05,-4.26E-06,-4.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543.61,-5998.43,-11028.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
