Frame,Sub Frame,RF,BF,MG,LG,AT
19,1,-0.00534058,0.000495911,0.0610352,0.062561,0.0264359
19,2,-0.00278473,0.00476837,0.0635147,0.067215,0.0215149
19,3,0.00190735,0.00774384,0.0682449,0.0702667,0.0622559
19,4,-0.00301361,0.00770569,0.0650787,0.0696564,0.102386
20,0,-0.00320435,-0.000801086,0.0629807,0.0659943,0.0695801
20,1,3.81E-05,-0.00579834,0.0648117,0.0648117,0.0135422
20,2,0.00160217,-0.0113678,0.0628662,0.0665283,0.0135803
20,3,0.00225067,-0.0124359,0.0641251,0.0654984,0.0233841
20,4,0.00152588,-0.00736237,0.0596237,0.0654984,0.0466919
21,0,0.00679016,-0.00461578,0.0561523,0.0658798,0.067215
21,1,0.00610352,-0.00507355,0.0562668,0.063324,0.0629044
21,2,0.00263214,-0.00476837,0.0498199,0.0588226,0.0727081
21,3,0.00148773,-0.00461578,0.0458527,0.0567627,0.0738907
21,4,0.00301361,0.00152588,0.0479126,0.0572968,0.0905228
22,0,0.0062561,0.00183105,0.0488663,0.0606918,0.171547
22,1,0.00263214,0.000190735,0.0508499,0.0618744,0.209961
22,2,0.00343323,-0.00209808,0.0502014,0.0614548,0.209961
22,3,0.00465393,-0.000762939,0.047493,0.062294,0.15667
22,4,0.00228882,-0.000267029,0.0527954,0.0634384,-0.0405121
23,0,0.00156403,0.001297,0.0539017,0.0639343,-0.174789
23,1,0.00534058,0.00591278,0.0528717,0.064888,-0.320282
23,2,0.00854492,0.0112915,0.0572586,0.070076,-0.279999
23,3,0.00980377,0.0115204,0.0629044,0.0721359,-0.100021
23,4,0.00457764,0.0133896,0.0614548,0.0708771,0.0119781
24,0,0.00225067,0.015831,0.0589371,0.0657272,0.132751
24,1,-0.00148773,0.00984192,0.0528336,0.060463,0.20031
24,2,-0.000648499,0.00282288,0.0461578,0.0590515,0.219955
24,3,-0.00217438,-0.000152588,0.0494003,0.0585938,0.254898
24,4,-0.000762939,0.000648499,0.0510025,0.0618744,0.269585
25,0,-0.000114441,-0.00164032,0.0598145,0.0668335,0.277939
25,1,-0.00347137,-0.0056839,0.0606155,0.0664902,0.259247
25,2,-0.00793457,-0.010643,0.0584793,0.0610733,0.186043
25,3,-0.00583649,-0.0132751,0.0583649,0.0611877,0.0163269
25,4,-0.00236511,-0.00778198,0.0562286,0.0646591,0.0205231
26,0,-0.00228882,-0.0038147,0.0603867,0.0709152,0.0728226
26,1,-0.00217438,-0.000915527,0.0633621,0.069809,0.062294
26,2,-0.000572205,-0.00171661,0.062561,0.0696564,0.0489807
26,3,-0.00343323,0.00782013,0.0597,0.0660706,0.0353241
26,4,-0.00156403,0.00415802,0.0561905,0.0599289,0.0295639
27,0,-0.00289917,-0.00232697,0.0518417,0.057869,0.0353622
27,1,-0.00263214,3.81E-05,0.0489044,0.0580978,0.0467682
27,2,0.00511169,0.00473022,0.0544739,0.0621414,0.063324
27,3,0.00419617,-0.000495911,0.0537491,0.0584412,0.0416183
27,4,0.0018692,-0.00087738,0.0493622,0.0571442,0.056572
28,0,-0.00175476,-0.00537872,0.0467682,0.0533676,0.0574493
28,1,-0.000991821,-0.00762939,0.0469971,0.0572205,0.028801
28,2,-0.00179291,-0.00431061,0.0493622,0.0626755,-0.0891495
28,3,-0.000686646,-0.00545502,0.0537109,0.0626755,-0.0315094
28,4,0.0012207,-0.00415802,0.0559616,0.063324,0.0460815
29,0,0.0025177,-0.000190735,0.0656891,0.0722504,0.0486374
29,1,0.001297,-0.00183105,0.0741577,0.0769806,0.0749969
29,2,-0.00442505,-0.000419617,0.0745773,0.0736618,0.0711441
29,3,-0.000915527,0.00751495,0.0712585,0.0718689,0.0373459
29,4,-7.63E-05,0.0102234,0.0632858,0.0693893,0.0518417
30,0,0.00232697,0.00591278,0.0629807,0.0678635,0.0893784
30,1,0.00152588,-0.00148773,0.0606918,0.0649643,0.0954437
30,2,0.00247955,-0.00354767,0.0556946,0.0634384,0.0868988
30,3,0.000762939,-0.00385284,0.0560379,0.0626373,0.0673676
30,4,0.00301361,-0.00617981,0.0563049,0.0621414,0.062027
31,0,0.001297,-0.0177765,0.0533295,0.063324,0.0697327
31,1,0.00190735,-0.0101471,0.0591278,0.0627518,0.0782776
31,2,0.00545502,0.0204849,0.0548935,0.0644302,0.0895691
31,3,0.00659943,0.0422287,0.0531769,0.0630951,0.0922012
31,4,0.00476837,0.0282669,0.050621,0.0621414,0.0801468
32,0,-0.001297,0.0311661,0.049324,0.0616837,0.0717163
32,1,-0.00202179,0.0378418,0.0519562,0.0632477,0.0720978
32,2,-0.000114441,0.000839233,0.0534439,0.0613022,0.0680542
32,3,-0.00339508,-0.0494003,0.0514984,0.0613785,0.0750351
32,4,-0.00110626,-0.0648117,0.0535202,0.0632095,0.0858688
33,0,-0.00038147,-0.0621033,0.0537491,0.0631332,0.0940704
33,1,-0.00144958,-0.0431824,0.0514984,0.0622177,0.0950241
33,2,-0.00572205,0.0030899,0.0496292,0.0597763,0.0891876
33,3,-0.00579834,0.0922775,0.053215,0.0607681,0.0817108
33,4,-0.00312805,0.142555,0.0608444,0.0663376,0.0698853
34,0,0.00244141,0.0422287,0.0658417,0.0711823,0.065155
34,1,0.00190735,-0.0940704,0.0667953,0.0690079,0.043335
34,2,0.00366211,-0.0736618,0.0656891,0.0682068,0.0431061
34,3,0.00556946,-0.0354004,0.0556946,0.0663757,0.0610352
34,4,0.000267029,-0.0188828,0.0558853,0.064621,0.0713348
35,0,-0.00137329,-0.0152588,0.0529099,0.0627136,0.0687408
35,1,-0.00213623,-0.00598907,0.0551605,0.0611496,0.0675201
35,2,0.00495911,0.0107193,0.055542,0.0642014,0.0737381
35,3,0.00759125,0.0234222,0.0585556,0.0683975,0.0701904
35,4,0.00141144,0.0243759,0.0556183,0.0616455,0.0618744
36,0,-0.00125885,0.015564,0.0531006,0.0631714,0.0531769
36,1,-0.00213623,0.00507355,0.0535202,0.0637817,0.0505447
36,2,-0.001297,-0.000610352,0.0541306,0.0605011,0.0497818
36,3,-0.00289917,0.00244141,0.0499725,0.0588608,0.0489044
36,4,-0.00389099,0.0119781,0.0506592,0.0600052,0.0642776
37,0,0.000228882,0.0167084,0.059433,0.0632858,0.0716782
37,1,7.63E-05,0.0190353,0.0603485,0.0688171,0.0510788
37,2,-0.00175476,-0.0012207,0.0555038,0.0596619,0.0321579
37,3,-0.0062561,-0.0143814,0.0553513,0.0616837,0.0522995
37,4,-0.00621796,-0.00911713,0.0588226,0.0654602,0.0708008
38,0,-0.00213623,0.00553131,0.0622177,0.0680923,0.0807953
38,1,0.00396729,0.0111008,0.0630188,0.0675964,0.0747681
38,2,0.00377655,-0.0166702,0.0617218,0.0660706,0.0753784
38,3,0.00812531,-0.0460815,0.0595474,0.0660706,0.075798
38,4,0.00762939,-0.0457382,0.0602722,0.0648499,0.0740433
39,0,0.00644684,-0.0128555,0.0588608,0.0598907,0.0682068
39,1,0.00263214,0.0069809,0.0566483,0.0624466,0.066452
39,2,0.00572205,0.0477219,0.0593185,0.0670242,0.0706863
39,3,0.00576019,0.018959,0.0577164,0.0698853,0.0729752
39,4,0,-0.00354767,0.0539017,0.0657654,0.0743103
40,0,-0.00339508,0.0151825,0.0508118,0.0655746,0.0693512
40,1,-0.00297546,0.0304413,0.0535583,0.0663376,0.0683212
40,2,-0.00263214,0.0432205,0.0567627,0.0658798,0.0635529
40,3,-0.00240326,0.0468063,0.0526428,0.0637817,0.0683975
40,4,-7.63E-05,0.0172424,0.0551605,0.0626755,0.0650787
41,0,0.00190735,-0.00331879,0.0536728,0.0629044,0.0660324
41,1,0.000419617,0.0087738,0.0548553,0.0626755,0.0671768
41,2,-0.00328064,-0.0141525,0.0540161,0.060997,0.0617981
41,3,-0.00579834,-0.0196457,0.0528336,0.0552368,0.059166
41,4,-0.000686646,-0.0242233,0.0540543,0.0582504,0.0609207
42,0,0.00102997,-0.098877,0.0577545,0.0658417,0.0669479
42,1,-0.00152588,-0.0741577,0.0580597,0.0675964,0.0682068
42,2,-0.0019455,-0.0269318,0.0580978,0.0689697,0.0695419
42,3,0.000801086,-0.0159836,0.0592041,0.0639725,0.0642776
42,4,0.00160217,-0.00701904,0.0593567,0.063324,0.0601196
43,0,-0.00293732,-0.03685,0.0553894,0.0617981,0.0612259
