Name,Tiempo
Foot Strike,3.695
Foot Off,4
Foot Strike,4.35
Foot Off,4.66
Foot Strike,5.02
Foot Off,5.33
Foot Strike,5.695
Foot Off,5.985
Foot Strike,6.355
Foot Off,6.665
Foot Strike,7.015
Foot Off,7.34
Foot Strike,7.675
Foot Off,7.985
Foot Strike,8.34
Foot Off,8.66
Foot Strike,9.025
Foot Off,9.34
Foot Strike,9.695
Foot Off,10.005
Foot Strike,10.365
Foot Off,10.66
Foot Strike,11.03
