Frame;Sub Frame;LAX;LAY;LAZ;LHX;LHY;LHZ;LKX;LKY;LKZ;RAX;RAY;RAZ;RHX;RHY;RHZ;RKX;RKY;RKZ
32;0;-11.0917;-8.99664;27.5752;24.9092;2.60228;-15.3159;6.69657;-3.38306;-22.5125;15.2205;-5.55453;19.9378;-8.58035;3.0014;-11.4021;14.1306;-2.79222;-8.0296
33;0;-11.4767;-8.7832;27.0354;24.341;2.6919;-15.1175;6.86513;-3.36113;-22.3426;14.6833;-5.64474;20.2304;-8.42822;2.63536;-11.5209;15.6338;-2.95549;-7.86569
34;0;-11.6904;-8.56934;26.4889;23.7465;2.78071;-14.919;7.03709;-3.33134;-22.1243;13.946;-5.72817;20.5;-8.18407;2.25951;-11.6483;17.3056;-3.1347;-7.64611
35;0;-11.7346;-8.36636;25.9651;23.1279;2.86627;-14.7356;7.21638;-3.29162;-21.8616;12.9713;-5.80096;20.7345;-7.84613;1.88136;-11.7813;19.1379;-3.33243;-7.37124
36;0;-11.6172;-8.18333;25.4884;22.4871;2.94655;-14.5812;7.40465;-3.24102;-21.5607;11.7253;-5.85801;20.9177;-7.41479;1.50838;-11.9182;21.1196;-3.55096;-7.04129
37;0;-11.3527;-8.0279;25.0805;21.8274;3.01979;-14.4679;7.60033;-3.18076;-21.2336;10.1781;-5.89704;21.0428;-6.89039;1.14661;-12.0599;23.2358;-3.79188;-6.66357
38;0;-10.9606;-7.90474;24.7552;21.1507;3.08472;-14.4018;7.79992;-3.11204;-20.8938;8.31065;-5.91491;21.1;-6.27634;0.802141;-12.2058;25.4681;-4.05782;-6.24689
39;0;-10.4627;-7.81632;24.5205;20.4606;3.1404;-14.3873;7.99905;-3.03799;-20.5552;6.11433;-5.91052;21.0859;-5.5749;0.479348;-12.3612;27.7971;-4.35177;-5.80289
40;0;-9.88198;-7.76185;24.3755;19.7586;3.18717;-14.4216;8.19192;-2.96192;-20.2306;3.59696;-5.88148;20.9929;-4.79027;0.180915;-12.5292;30.2022;-4.67575;-5.34209
41;0;-9.2406;-7.7382;24.3124;19.048;3.22566;-14.498;8.37259;-2.88708;-19.9303;0.785862;-5.82774;20.8206;-3.92563;-0.091438;-12.7144;32.6627;-5.03291;-4.87875
42;0;-8.55824;-7.74119;24.3204;18.3302;3.25681;-14.6081;8.53636;-2.81671;-19.6626;-2.2713;-5.74914;20.5677;-2.98501;-0.33754;-12.9201;35.1591;-5.42485;-4.42701
43;0;-7.85248;-7.76544;24.3851;17.6069;3.28303;-14.738;8.67825;-2.75372;-19.432;-5.50409;-5.64556;20.2331;-1.97297;-0.558061;-13.1494;37.6714;-5.8525;-3.99947
