percent;lankleangx;lankleangx_sd;lankleangy;lankleangy_sd;lankleangz;lankleangz_sd;lhipangx;lhipangx_sd;lhipangy;lhipangy_sd;lhipangz;lhipangz_sd;lkneeangx;lkneeangx_sd;lkneeangy;lkneeangy_sd;lkneeangz;lkneeangz_sd
48;-4.162070803;4.870066039;13.08523417;4.432789527;-18.34588788;5.608858433;1.229391501;2.729503136;-2.259127423;4.543709649;-1.791111347;4.620413509;-0.183369901;3.645645129;-17.94975456;6.137747889;32.84262855;7.11045145
49;-4.125878566;4.924789746;12.98047278;4.5054638;-18.02957;5.521662989;1.237930607;2.699033499;-2.231102512;4.680568759;-1.167562018;4.561883341;-0.112980278;3.892661949;-18.31573983;6.070267942;36.24823911;7.392802034
50;-4.128915659;4.96963515;12.88394471;4.594488695;-17.64125345;5.424448779;1.190070854;2.670765388;-2.36655557;4.820228008;-0.505228316;4.50884395;-0.098741938;4.147307322;-18.55722316;5.963279094;39.80120727;7.646600518
51;-4.154682517;4.983525283;12.7860826;4.683858019;-17.22181203;5.34315031;1.090742391;2.644928133;-2.667564056;4.938643021;0.183611709;4.467693019;-0.164419634;4.38899381;-18.68791154;5.837358476;43.44942474;7.88361446
52;-4.184153574;4.950720309;12.6795047;4.762859748;-16.79763714;5.297254054;0.944001086;2.622391162;-3.11601027;5.019362429;0.894162937;4.442427266;-0.320105129;4.600413031;-18.73720562;5.714690478;47.14791461;8.113264017
53;-4.201251818;4.863685441;12.55802224;4.826390622;-16.37909375;5.297483284;0.749952986;2.604332085;-3.675172297;5.05705619;1.629474814;4.434443397;-0.557360613;4.771579871;-18.74028664;5.611098493;50.85964966;8.341607203
54;-4.198613937;4.724261659;12.41447032;4.872540253;-15.96317109;5.346035865;0.502358143;2.591225342;-4.294616415;5.056061532;2.399431572;4.443236937;-0.848478408;4.900472162;-18.72703674;5.530825877;54.55461052;8.570916511
55;-4.180702175;4.543896016;12.239855;4.899776861;-15.53761361;5.437352342;0.187986339;2.581830982;-4.917356342;5.02675909;3.218954474;4.467558904;-1.151171633;4.991655631;-18.71332834;5.467467999;58.20793928;8.799626379
56;-4.163296397;4.340552947;12.02606101;4.90631237;-15.08399093;5.559318761;-0.211114625;2.572957661;-5.487895148;4.981847857;4.105915401;4.506624138;-1.418184987;5.053959442;-18.69737708;5.409548785;61.79794979;9.022734386
57;-4.170193953;4.132513728;11.77098475;4.890783417;-14.57903867;5.695232908;-0.711643271;2.560308205;-5.959575886;4.93375511;5.080085018;4.560737817;-1.608918548;5.098118245;-18.66283214;5.346850731;65.30347879;9.23289234
