Name,Tiempo
Foot Strike,2.02
Foot Off,2.2
Foot Strike,2.7
Foot Off,2.94
Foot Strike,3.44
Foot Off,3.58
Foot Strike,4.13
Foot Off,4.305
Foot Strike,4.81
Foot Off,5.005
Foot Strike,5.505
Foot Off,5.66
Foot Strike,6.175
Foot Off,6.37
Foot Strike,6.895
Foot Off,7.075
Foot Strike,7.605
Foot Off,7.76
Foot Strike,8.245
Foot Off,8.435
Foot Strike,8.94
