Frame,Sub Frame,RF,BF,MG,LG,AT
1,0,0.0484467,0.0251007,-0.0813675,-0.167694,0.0497818
1,1,0.043602,0.0154495,-0.0482941,-0.183678,0.0719452
1,2,0.0338745,0.0424576,0.0656128,-0.0946808,0.0695038
1,3,0.0603485,0.0989914,0.0499725,-0.132141,0.0686646
1,4,0.0655746,0.073204,0.0743103,-0.0753784,0.0751495
2,0,0.0513458,0.0579071,0.0405884,-0.0244141,0.0748062
2,1,0.0436783,0.0158691,0.0736618,0.0690079,0.0860977
2,2,0.0319672,-0.0263214,0.059166,0.136414,0.0868225
2,3,0.00144958,-0.0801849,0.328827,0.130692,0.0925827
2,4,-0.0199127,-0.0848007,0.395088,0.0743866,0.0906372
3,0,-0.0282669,-0.0406647,0.406685,0.0117493,0.0836182
3,1,-0.048027,-0.0169373,0.0714111,-0.0531769,0.0757217
3,2,-0.0297165,0.0858307,-0.311089,-0.0853729,0.0746155
3,3,-0.0139236,0.0662231,-0.0731659,-0.0624084,0.0829697
3,4,-0.00232697,0.00865936,0.0770187,-0.0209045,0.0616837
4,0,0.00530243,0.0175095,0.0744247,0.0596619,0.0442123
4,1,0.00858307,-0.00846863,0.197182,0.0457001,0.0462341
4,2,0.00541687,0.0431824,0.0934219,0.0276184,0.0535965
4,3,0.0156403,0.00804901,-0.203819,0.111771,0.0615692
4,4,0.0228119,-0.0152588,-0.239258,0.22892,0.0740051
5,0,0.0196457,-0.0241852,-0.107422,0.128288,0.0908279
5,1,0.0111771,-0.00984192,0.0286102,0.0678253,0.111771
5,2,0.0106049,-0.00759125,0.136909,0.0682449,0.0885773
5,3,0.00465393,-0.0146103,0.101891,0.102768,0.0627136
5,4,-0.00324249,-0.0358963,0.0896072,0.148468,0.0626373
6,0,-0.000648499,-0.046196,0.184975,0.168495,0.0564194
6,1,0.00133514,-0.0278091,0.268784,0.212822,0.0524902
6,2,-0.00869751,-0.0130463,0.130348,0.14946,0.0484467
6,3,0.000572205,0.00785828,0.0582504,0.105171,0.0359726
6,4,0.00778198,0.000419617,0.121765,0.107574,0.0562668
7,0,0.0167847,0.0145721,0.0882721,0.135727,0.0830841
7,1,0.00331879,0.0165558,0.0206757,0.106735,0.0862885
7,2,-0.00926971,0.014267,0.0578308,0.0641632,0.0771332
7,3,-0.01297,0.00984192,0.052948,0.0382614,0.0764847
7,4,-0.03582,0.0217438,0.0919724,0.069313,0.0808716
8,0,-0.0512314,0.000839233,0.0959015,0.0606155,0.0801086
8,1,-0.0733185,-0.0291061,0.05867,0.0688553,0.0844193
8,2,-0.0793457,-0.0156021,0.0527573,0.0559998,0.086441
8,3,-0.0362396,-0.00358582,0.0473022,0.040741,0.0842285
8,4,-0.0227356,-0.0154114,0.0632858,0.0296783,0.0938416
9,0,-0.0308609,-0.0213623,0.0860596,-0.0101089,0.105247
9,1,-0.035553,-0.00232697,0.129776,-0.0696945,0.103683
9,2,0.000228882,-0.0162888,0.107346,-0.129051,0.0714111
9,3,0.0395966,-0.0037384,0.0569153,-0.102005,0.0369644
9,4,0.047226,0.0378418,0.0228882,-0.0211334,0.0150299
10,0,0.0528717,0.0637054,-0.010376,0.212402,0.0164032
10,1,0.062294,0.0605011,-0.00461578,0.312881,0.0312042
10,2,0.0590897,-0.0131226,-0.0340652,0.340919,0.0711441
10,3,0.0479889,0.00469208,-0.0429153,0.311279,0.0915909
10,4,0.0380325,0.00694275,-0.119095,0.184021,0.105972
11,0,0.0370026,0.0482559,-0.0621796,0.0898361,0.0988007
11,1,0.0308228,0.0812149,-0.0268173,-0.0317001,0.0870132
11,2,0.0266266,-0.0268173,0.14122,-0.0211716,0.0857544
11,3,0.0197601,-0.0391388,0.210609,0.0877762,0.0717163
11,4,0.00976563,-0.0373077,0.119934,0.190315,0.076828
12,0,0.00499725,-0.0280762,-0.171204,0.151329,0.0794601
12,1,0.001297,-0.00804901,-0.140266,0.10704,0.0790024
12,2,-0.00766754,-0.0123215,0.0452423,0.0379181,0.0663757
12,3,-0.0143814,-0.032959,0.130386,-0.0119019,0.0661087
12,4,-0.0123596,-0.0296021,0.0859833,-0.0408554,0.076561
13,0,-0.0149918,-0.0206757,0.087738,-0.0872803,0.079689
13,1,-0.0149155,-0.0172043,0.13401,-0.115471,0.0670624
13,2,-0.0187302,-0.00507355,0.121841,-0.113754,0.0598145
13,3,-0.0176239,-0.00221252,0.101357,-0.088768,0.0566101
13,4,-0.0246048,0.00175476,0.0798416,-0.0399399,0.0603485
14,0,-0.0242615,0.00453949,0.172997,0.0383759,0.064888
14,1,-0.0222397,7.63E-05,0.169373,0.111389,0.0764465
14,2,-0.0208664,-0.0145721,0.131226,0.13073,0.0792694
